,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
gravermedhjælper,0.9354838709677418,0.2741935483870968,0.03225806451612906,0.09677419354838712,0.8709677419354838,0.3387096774193548,0.03225806451612906,0.06451612903225806,0.9838709677419355,0.25806451612903225,0.12903225806451613,0.04838709677419356,1.0,0.1774193548387097,0.06451612903225806,0.0
økonomielev,0.7560975609756098,0.6829268292682927,0.29268292682926833,0.14634146341463417,0.6097560975609756,1.0,0.3902439024390244,0.14634146341463417,0.9268292682926829,0.8292682926829269,0.2682926829268293,0.04878048780487804,0.5121951219512195,0.5365853658536586,0.14634146341463417,0.0
køkkenmedhjælper,0.726027397260274,0.8082191780821917,0.3972602739726028,0.0,0.46575342465753433,1.0,0.5205479452054793,0.31506849315068486,0.6027397260273972,0.8904109589041096,0.26027397260273966,0.47945205479452047,0.3287671232876712,0.041095890410958846,0.2191780821917808,0.0
kok,0.88663282571912,0.796954314720812,0.5736040609137056,0.36209813874788493,0.6954314720812182,1.0,0.5245346869712351,0.37225042301184436,0.6243654822335025,0.692047377326565,0.4991539763113367,0.350253807106599,0.4111675126903553,0.19458544839255493,0.42808798646362095,0.0
serveringsmedarbejder,0.7936507936507936,1.0,0.6190476190476191,0.25396825396825395,0.6190476190476191,0.7777777777777777,0.5238095238095237,0.3492063492063492,0.6349206349206349,0.6190476190476191,0.4126984126984127,0.1746031746031746,0.2698412698412698,0.19047619047619047,0.4920634920634921,0.0
tjener,0.7668393782383418,0.8678756476683938,0.6968911917098446,0.3911917098445596,0.6476683937823835,1.0,0.5699481865284974,0.33937823834196895,0.704663212435233,0.77720207253886,0.5077720207253886,0.2564766839378238,0.4300518134715026,0.18652849740932637,0.49481865284974097,0.0
souschef,0.357142857142857,0.2142857142857142,0.1428571428571428,0.6547619047619049,0.7499999999999998,0.726190476190476,0.0,0.357142857142857,0.45238095238095233,0.8809523809523807,0.9999999999999998,0.9880952380952379,0.857142857142857,0.5952380952380951,0.10714285714285698,0.011904761904761862
salgselev,0.26436781609195403,0.02873563218390804,0.4367816091954022,0.41954022988505746,0.45977011494252873,0.4885057471264368,0.2413793103448276,0.17816091954022986,0.4770114942528735,0.9999999999999999,0.02873563218390804,0.0,0.4137931034482758,0.0,0.19540229885057472,0.0517241379310345
chauffør,0.3200934579439252,0.7032710280373831,0.558411214953271,0.29439252336448596,0.2897196261682242,1.0,0.4112149532710281,0.09813084112149528,0.3341121495327102,0.5630841121495327,0.20327102803738317,0.0,0.09345794392523366,0.0,0.10747663551401865,0.06542056074766356
salgskonsulent,1.0,0.5978260869565217,0.8804347826086956,0.8804347826086956,0.5978260869565217,0.576086956521739,0.26086956521739135,0.4347826086956521,0.6630434782608696,0.4782608695652173,0.11956521739130432,0.23913043478260865,0.13043478260869568,0.16304347826086962,0.0,0.07608695652173914
bogholder,1.0000000000000002,0.5087719298245614,0.44736842105263164,0.6140350877192984,0.6140350877192984,0.6140350877192984,0.22807017543859653,0.16666666666666674,0.9473684210526316,0.368421052631579,0.19298245614035103,0.13157894736842102,0.22807017543859653,0.03508771929824572,0.0,0.07894736842105265
kontorelev,1.0,0.46892655367231634,0.2711864406779661,0.02259887005649719,0.9830508474576272,0.5819209039548023,0.10734463276836159,0.15254237288135591,0.96045197740113,0.536723163841808,0.0,0.15254237288135591,0.7570621468926555,0.3107344632768361,0.14124293785310732,0.1016949152542373
studiemedarbejder,0.26436781609195403,0.08045977011494254,0.09195402298850575,0.0,0.1954022988505747,0.27586206896551724,0.21839080459770116,0.0,0.6896551724137931,1.0,0.896551724137931,0.16091954022988503,0.011494252873563204,0.022988505747126436,0.16091954022988503,0.11494252873563221
mekaniker,0.5519125683060109,0.6065573770491803,0.4098360655737705,0.8524590163934427,1.0,0.9890710382513661,0.40437158469945356,0.34426229508196715,0.7650273224043715,0.6721311475409837,0.21857923497267762,0.0,0.3989071038251366,0.06557377049180335,0.14754098360655732,0.12568306010928953
receptionist,0.7234042553191489,0.6489361702127658,0.3191489361702128,0.32978723404255317,0.6489361702127658,0.7978723404255319,0.7553191489361701,0.7340425531914894,0.8191489361702127,0.5106382978723405,1.0,0.47872340425531923,0.4893617021276595,0.0,0.3191489361702128,0.13829787234042556
ejendomsmægler,1.0,0.825,0.65,0.625,0.375,0.675,0.42500000000000004,0.5,0.675,0.475,0.125,0.275,0.0,0.024999999999999967,0.32499999999999996,0.175
studentermedarbejder,0.0,0.13414634146341464,0.15853658536585363,0.3536585365853659,0.43902439024390244,0.37804878048780494,0.23170731707317077,0.3170731707317073,0.2926829268292683,0.524390243902439,1.0,0.6585365853658536,0.2439024390243903,0.23170731707317077,0.23170731707317077,0.20731707317073172
kontorassistent,1.0,0.8644067796610169,0.44067796610169485,0.5254237288135593,0.5423728813559321,0.7966101694915253,0.15254237288135597,0.35593220338983045,0.22033898305084731,0.2542372881355932,0.23728813559322037,0.2881355932203389,0.5254237288135593,0.06779661016949146,0.0,0.23728813559322037
kundeservicemedarbejder,0.52,0.21999999999999997,0.20000000000000018,0.18000000000000016,0.56,1.0000000000000002,0.08000000000000007,0.6400000000000001,0.8200000000000001,0.56,0.28,0.0,0.5,0.040000000000000036,0.1200000000000001,0.32000000000000006
elev,0.9111498257839721,0.44250871080139365,0.22125435540069693,0.022648083623693527,0.8275261324041814,0.872822299651568,0.005226480836237002,0.10104529616724744,0.9965156794425087,0.7404181184668992,0.0,0.08362369337979092,1.0000000000000002,0.7073170731707317,0.32578397212543564,0.36062717770034847
sælger,0.9747292418772564,0.7364620938628159,0.6425992779783394,0.6787003610108304,1.0,0.8628158844765343,0.5054151624548737,0.4945848375451263,0.772563176895307,0.5126353790613718,0.8014440433212997,0.7148014440433212,0.4548736462093863,0.0,0.1732851985559567,0.371841155234657
vikarvagt,0.0,0.13953488372093026,0.5581395348837209,0.627906976744186,0.5813953488372092,0.8604651162790697,1.0,0.9069767441860465,0.9534883720930232,0.9302325581395349,1.0,0.6976744186046511,0.5348837209302325,0.3488372093023256,0.883720930232558,0.4186046511627907
ernæringsassistent,0.6493506493506496,0.8701298701298701,0.051948051948051965,0.7272727272727273,0.5454545454545456,0.8051948051948055,0.40259740259740284,0.6623376623376622,0.37662337662337664,0.49350649350649367,0.19480519480519476,0.46753246753246747,1.0000000000000002,0.1428571428571428,0.0,0.4415584415584417
tilkaldevikar,0.6386554621848738,0.26890756302521,0.3277310924369746,0.23529411764705876,0.6134453781512604,0.5882352941176471,0.26050420168067223,0.3697478991596638,0.9999999999999999,0.31932773109243684,0.16806722689075626,0.134453781512605,0.6722689075630252,0.0,0.26050420168067223,0.44537815126050406
ungarbejder,0.0,0.04907975460122699,0.30674846625766866,0.11042944785276071,0.9079754601226995,0.785276073619632,0.42331288343558277,0.37423312883435583,0.6809815950920246,1.0,0.9079754601226995,0.5337423312883436,0.6196319018404908,0.5582822085889572,0.5153374233128833,0.44785276073619634
lærer,0.08565459610027859,0.9275766016713092,0.2834261838440112,0.4338440111420613,0.15738161559888586,1.0,0.26810584958217276,0.35027855153203347,0.0,0.7207520891364902,0.20752089136490248,0.266016713091922,0.057103064066852394,0.7388579387186629,0.3272980501392758,0.4512534818941505
salgsassistentelev,0.32474226804123707,0.2706185567010309,0.13402061855670103,0.030927835051546386,0.1752577319587629,0.15463917525773196,0.0,0.03608247422680413,0.21649484536082472,0.10567010309278352,0.16237113402061856,0.10824742268041238,0.3324742268041237,1.0,0.38659793814432986,0.45618556701030927
tandlæge,0.7887323943661972,0.6619718309859153,0.7887323943661972,0.9999999999999998,0.5070422535211268,0.7605633802816902,0.12676056338028152,0.8732394366197183,0.5774647887323943,0.7464788732394367,0.25352112676056326,0.5070422535211268,0.6901408450704223,0.0,0.6338028169014083,0.464788732394366
handicaphjælper,0.04558011049723765,0.0,0.7665745856353592,0.9088397790055249,0.7997237569060773,0.9295580110497237,1.0,0.7665745856353592,0.75,0.7679558011049723,0.7140883977900552,0.5179558011049723,0.5994475138121547,0.28314917127071826,0.7251381215469612,0.4737569060773481
studentermedhjælper,0.14224137931034475,0.2758620689655171,0.43534482758620685,0.6336206896551724,0.7413793103448274,1.0,0.4956896551724137,0.6551724137931034,0.5172413793103448,0.8232758620689653,0.21982758620689635,0.3275862068965516,0.6163793103448274,0.0,0.4525862068965516,0.4913793103448274
salgsleder,0.0,0.1217391304347826,0.7130434782608697,0.6695652173913043,0.8695652173913044,0.8434782608695652,0.6695652173913043,1.0,0.7304347826086957,0.8782608695652174,0.9217391304347826,0.5217391304347827,0.45217391304347826,0.791304347826087,0.46956521739130436,0.5043478260869565
servicemedarbejder,0.0,0.011412268188302432,0.0784593437945792,0.0542082738944365,0.12268188302425109,0.6676176890156919,0.25392296718972895,0.23252496433666192,0.32382310984308127,0.6362339514978602,0.28245363766048504,0.9714693295292439,1.0,0.45078459343794586,0.40656205420827385,0.5149786019971468
rengøringsassistent,0.9999999999999998,0.35344827586206895,0.14655172413793105,0.0,0.2844827586206897,0.5919540229885056,0.3160919540229885,0.002873563218390718,0.4540229885057472,0.5086206896551724,0.37356321839080464,0.04885057471264376,0.11206896551724133,0.3275862068965516,0.718390804597701,0.5488505747126438
butiksassistent,0.26613965744400525,0.18313570487483533,0.3820816864295125,0.5599472990777339,1.0,0.5757575757575757,0.36758893280632415,0.32806324110671936,0.3794466403162055,0.7496706192358367,0.5256916996047432,0.7444005270092227,0.5375494071146245,0.6706192358366272,0.0,0.5533596837944663
journalist,0.23809523809523814,0.8571428571428572,0.5238095238095237,1.0,0.5714285714285714,0.2857142857142856,0.47619047619047605,0.7619047619047619,0.38095238095238093,0.6666666666666665,0.0,0.5238095238095237,0.04761904761904745,0.0,0.38095238095238093,0.5714285714285714
murer,0.0,0.2838983050847458,0.2033898305084746,0.288135593220339,0.07203389830508478,0.24152542372881358,0.19491525423728817,0.029661016949152574,0.22881355932203395,0.2966101694915254,0.30932203389830504,0.008474576271186474,0.1228813559322034,1.0,0.8559322033898304,0.5932203389830508
tømrer,0.006688963210702337,0.2441471571906355,0.39799331103678925,0.3612040133779264,0.23076923076923073,0.5117056856187292,0.3812709030100334,0.14715719063545152,0.10033444816053516,0.4247491638795986,0.4581939799331103,0.03344481605351168,0.0,0.8294314381270902,1.0,0.5953177257525084
kommunikationspraktikant,0.05714285714285716,0.17142857142857143,0.19999999999999996,0.8,0.6285714285714286,0.6571428571428571,0.02857142857142858,0.9428571428571428,0.8285714285714285,0.6571428571428571,0.22857142857142854,1.0,0.5428571428571428,0.0,0.08571428571428569,0.6285714285714286
social- og sundhedsassistent,0.6928982725527828,0.04798464491362764,0.028790786948176494,0.1976967370441458,0.6890595009596929,0.5681381957773513,0.3378119001919384,0.4491362763915545,0.9999999999999998,0.29942418426103656,0.17466410748560457,0.10748560460652579,0.6468330134357003,0.0,0.2610364683301343,0.6314779270633395
produktionsmedarbejder,0.1907894736842105,0.42105263157894735,0.6052631578947368,0.5986842105263158,0.5921052631578947,1.0,0.743421052631579,0.23026315789473684,0.6907894736842106,0.7763157894736843,0.23684210526315796,0.0,0.2828947368421053,0.1578947368421053,0.368421052631579,0.6381578947368421
konsulent,0.7734241908006816,0.4190800681431004,0.5076660988074957,1.0000000000000002,0.8347529812606476,0.6626916524701876,0.19591141396933565,0.5860306643952302,0.5161839863713802,0.2708688245315163,0.01192504258943794,0.5229982964224875,0.4480408858603069,0.0,0.2197614991482113,0.645655877342419
lagermedarbejder,0.38799999999999996,0.8320000000000001,0.512,0.6240000000000001,0.792,0.984,0.6240000000000001,0.5760000000000001,0.6520000000000001,1.0,0.34800000000000003,0.0040000000000000036,0.0,0.22400000000000003,0.40399999999999997,0.6520000000000001
praktikant,0.16231884057971013,0.08985507246376812,0.0,1.0,0.7072463768115942,0.5594202898550724,0.02898550724637672,0.7420289855072464,0.5999999999999999,0.7565217391304346,0.23478260869565215,0.6782608695652173,0.6927536231884057,0.1159420289855072,0.1420289855072463,0.6695652173913043
salgsassistent,0.25,0.15163934426229508,0.11270491803278693,0.047131147540983576,0.22540983606557374,0.27459016393442626,0.13319672131147542,0.0,0.2561475409836066,0.4569672131147541,0.41393442622950827,0.39754098360655743,0.49590163934426224,1.0,0.5963114754098361,0.7110655737704917
projektleder,0.6229508196721312,0.4972677595628414,0.5573770491803278,1.0,0.9781420765027322,0.7814207650273224,0.4863387978142075,0.9234972677595628,0.7540983606557377,0.2732240437158471,0.2404371584699454,0.3989071038251366,0.6174863387978142,0.0,0.3879781420765027,0.7704918032786885
håndværker,0.08695652173913049,0.0,0.0652173913043479,0.3913043478260869,0.9782608695652173,1.0,0.3913043478260869,0.5869565217391304,0.6956521739130435,0.6086956521739131,0.5217391304347827,0.21739130434782616,0.04347826086956519,0.6304347826086956,0.6956521739130435,0.7826086956521738
lægesekretær,0.3936170212765958,0.25177304964539016,0.0,0.1879432624113475,0.3191489361702128,0.6170212765957448,0.16312056737588654,0.2836879432624114,0.6666666666666667,0.45035460992907805,0.36170212765957455,0.46099290780141844,1.0,0.5992907801418439,0.6489361702127661,0.8049645390070923
key account manager,0.9302325581395349,0.6046511627906977,0.883720930232558,0.7441860465116278,0.5813953488372093,0.9767441860465115,0.4883720930232557,0.9999999999999999,0.2558139534883721,0.41860465116279066,0.9069767441860465,0.6976744186046512,0.34883720930232565,0.0,0.0,0.813953488372093
ledsager,0.0,0.008733624454148464,0.47161572052401746,0.37117903930131,0.7161572052401747,0.9825327510917031,0.8122270742358079,0.8122270742358079,0.851528384279476,0.8602620087336245,0.6812227074235808,0.7685589519650655,0.7510917030567685,0.5283842794759825,0.9999999999999999,0.8209606986899564
læge,0.49576988155668356,0.3265651438240271,0.0,0.42131979695431476,0.48054145516074454,0.61082910321489,0.020304568527918843,0.38917089678510997,0.668358714043993,0.48223350253807085,0.24534686971235198,0.4788494077834178,0.9999999999999998,0.3857868020304569,0.45516074450084587,0.8426395939086293
instruktør,0.18888888888888888,0.21111111111111114,0.09999999999999998,0.20555555555555555,0.18888888888888888,0.23333333333333334,0.6055555555555556,0.8444444444444446,0.6944444444444444,0.4444444444444445,1.0,0.47222222222222227,0.4944444444444444,0.0,0.5888888888888888,0.8444444444444446
pædagogmedhjælper,0.16312056737588643,0.39716312056737557,0.8156028368794326,0.7163120567375887,0.3829787234042552,0.6808510638297869,0.4893617021276593,0.5957446808510638,0.39716312056737557,0.4751773049645389,0.7730496453900706,0.602836879432624,0.34042553191489366,0.0,1.0,0.8581560283687941
medarbejder,0.09906858594411494,0.13632514817950891,0.0,0.2658763759525824,0.5952582557154953,1.0,0.12108382726502942,0.0846740050804402,0.552921253175275,0.8010160880609654,0.18628281117696854,0.3429297205757833,0.7265029635901779,0.11176968670618104,0.497883149872989,0.899237933954276
elektriker,0.691358024691358,0.4135802469135803,0.5185185185185186,1.0,0.5802469135802468,0.462962962962963,0.3580246913580247,0.3641975308641976,0.7716049382716048,0.2901234567901234,0.22222222222222232,0.14197530864197527,0.20370370370370372,0.0,0.6419753086419753,0.9135802469135803
afdelingsleder,0.5405405405405403,0.5675675675675675,0.5765765765765765,0.9999999999999998,0.6216216216216217,0.4144144144144144,0.0,0.28828828828828823,0.5675675675675675,0.3513513513513513,0.2792792792792791,0.6666666666666667,0.4504504504504503,0.28828828828828823,0.5945945945945945,0.927927927927928
leder,0.3423728813559319,0.30847457627118624,0.36440677966101687,1.0,0.8644067796610169,0.9237288135593218,0.06440677966101704,0.789830508474576,0.44576271186440675,0.5559322033898302,0.11864406779660985,0.5813559322033899,0.6542372881355929,0.0,0.2593220338983051,0.9525423728813558
servicemedarbejder under 18 år,0.10835913312693501,0.10526315789473684,0.10835913312693501,0.05882352941176472,0.0,0.45201238390092885,0.3993808049535604,0.26315789473684215,0.3993808049535604,0.9814241486068112,0.5015479876160991,1.0,0.8018575851393188,0.9349845201238389,0.7399380804953561,0.9628482972136223
project manager,0.5000000000000001,0.7499999999999999,0.5723684210526315,0.6184210526315789,0.6710526315789475,0.5526315789473685,0.6447368421052632,0.8223684210526315,0.368421052631579,0.6907894736842105,0.25,0.6184210526315789,0.5394736842105262,0.0,0.6052631578947368,0.9999999999999999
klinikassistent,0.0,0.35922330097087374,0.12621359223300965,0.18446601941747576,0.09708737864077666,0.37864077669902907,0.2621359223300971,0.44660194174757273,0.16504854368932043,0.46601941747572806,0.30097087378640774,0.33009708737864074,0.22330097087378642,0.2621359223300971,0.7087378640776699,0.9999999999999999
account manager,0.7073170731707318,0.3597560975609756,0.33536585365853666,0.44512195121951226,0.3597560975609756,0.701219512195122,0.5121951219512196,0.9939024390243903,0.25,0.1890243902439025,0.5365853658536587,0.4573170731707318,0.3292682926829269,0.0,0.1707317073170732,1.0
sygeplejerske,0.45168539325842705,0.2640449438202248,0.0,0.5089887640449438,0.5808988764044942,0.6842696629213485,0.34044943820224716,0.4842696629213483,0.8011235955056182,0.45168539325842705,0.2404494382022473,0.4370786516853933,0.862921348314607,0.5370786516853934,0.5382022471910113,1.0
social- og sundhedshjælper,0.375586854460094,0.0,0.014084507042253502,0.14084507042253525,0.8779342723004695,0.8497652582159625,0.6150234741784038,0.40845070422535223,0.92018779342723,0.5305164319248827,0.347417840375587,0.30046948356807524,0.9812206572769955,0.215962441314554,0.5727699530516432,1.0
fysioterapeut,0.7422680412371132,0.30927835051546393,0.0,0.7113402061855669,0.5979381443298968,0.8041237113402062,0.5876288659793814,0.9278350515463918,0.9484536082474226,0.9072164948453609,0.0,0.35051546391752564,0.5979381443298968,0.05154639175257736,0.04123711340206193,1.0000000000000002
administrativ medarbejder,0.26136363636363646,0.5568181818181819,0.3181818181818181,0.6931818181818181,0.659090909090909,0.7727272727272727,0.46590909090909105,0.45454545454545436,0.8068181818181819,0.26136363636363646,0.4772727272727273,0.2727272727272727,0.8750000000000002,0.0,0.26136363636363646,1.0000000000000002
pædagog,0.0,0.1641554321966694,0.17684377478191915,0.5908009516256938,0.317208564631245,0.5368754956383823,0.3053132434575734,0.45360824742268036,0.16098334655035695,0.2220459952418714,0.27835051546391765,0.31800158604282314,0.6447264076130057,0.37192704203013505,0.6812053925455988,1.0000000000000002
tandplejer,0.6363636363636367,0.27272727272727293,0.22727272727272751,0.31818181818181834,0.5909090909090913,1.0000000000000004,0.04545454545454586,0.31818181818181834,0.0,0.9545454545454546,0.27272727272727293,0.6363636363636367,0.6818181818181821,0.09090909090909127,0.8181818181818183,1.0000000000000004
